scenario,standard,param_name,param_value,rng_run,flow_id,src,dst,txPkts,rxPkts,lost,lossRate_pct,meanDelay_ms,jitter_ms
distance,80211ac,distance_m,1,1,1,192.168.1.2:49153,192.168.1.1:9,898,898,0,0,0.0530415,0.0152191
distance,80211ac,distance_m,1,1,3,192.168.1.4:49153,192.168.1.1:9,970,970,0,0,0.0500601,0.011534
distance,80211ac,distance_m,1,1,4,192.168.1.3:49153,192.168.1.1:9,931,931,0,0,0.0559067,0.013228
distance,80211ac,distance_m,1,1,6,192.168.1.5:49153,192.168.1.1:9,832,832,0,0,0.0495078,0.0113957
distance,80211ac,distance_m,1,1,7,192.168.1.6:49153,192.168.1.1:9,713,713,0,0,0.0488919,0.0113629
distance,80211ac,distance_m,1,2,2,192.168.1.3:49153,192.168.1.1:9,793,793,0,0,0.0516527,0.0170702
distance,80211ac,distance_m,1,2,3,192.168.1.2:49153,192.168.1.1:9,735,735,0,0,0.0504095,0.0143121
distance,80211ac,distance_m,1,2,4,192.168.1.5:49153,192.168.1.1:9,865,865,0,0,0.0480741,0.00960932
distance,80211ac,distance_m,1,2,5,192.168.1.6:49153,192.168.1.1:9,838,838,0,0,0.0489691,0.00989335
distance,80211ac,distance_m,1,2,6,192.168.1.4:49153,192.168.1.1:9,825,825,0,0,0.0521078,0.0177189
distance,80211ac,distance_m,1,3,1,192.168.1.3:49153,192.168.1.1:9,908,908,0,0,0.0566541,0.0133828
distance,80211ac,distance_m,1,3,2,192.168.1.4:49153,192.168.1.1:9,796,796,0,0,0.0537536,0.0205978
distance,80211ac,distance_m,1,3,4,192.168.1.2:49153,192.168.1.1:9,870,870,0,0,0.0491309,0.0113927
distance,80211ac,distance_m,1,3,5,192.168.1.6:49153,192.168.1.1:9,784,784,0,0,0.0525698,0.0148009
distance,80211ac,distance_m,1,3,6,192.168.1.5:49153,192.168.1.1:9,873,873,0,0,0.0496516,0.0120463
distance,80211ac,distance_m,1,4,1,192.168.1.4:49153,192.168.1.1:9,976,976,0,0,0.0516399,0.0141922
distance,80211ac,distance_m,1,4,2,192.168.1.2:49153,192.168.1.1:9,868,868,0,0,0.0495253,0.0108361
distance,80211ac,distance_m,1,4,3,192.168.1.3:49153,192.168.1.1:9,796,796,0,0,0.048836,0.0118054
distance,80211ac,distance_m,1,4,4,192.168.1.5:49153,192.168.1.1:9,863,863,0,0,0.0538079,0.0175315
distance,80211ac,distance_m,1,4,7,192.168.1.6:49153,192.168.1.1:9,763,763,0,0,0.0489974,0.011377
distance,80211ac,distance_m,1,5,2,192.168.1.4:49153,192.168.1.1:9,776,776,0,0,0.0479507,0.00985604
distance,80211ac,distance_m,1,5,3,192.168.1.2:49153,192.168.1.1:9,744,744,0,0,0.0480196,0.00993846
distance,80211ac,distance_m,1,5,5,192.168.1.5:49153,192.168.1.1:9,868,868,0,0,0.0486462,0.0108526
distance,80211ac,distance_m,1,5,6,192.168.1.6:49153,192.168.1.1:9,829,829,0,0,0.0507876,0.0125724
distance,80211ac,distance_m,1,5,8,192.168.1.3:49153,192.168.1.1:9,942,942,0,0,0.0515801,0.0153691
distance,80211ac,distance_m,1,6,1,192.168.1.2:49153,192.168.1.1:9,910,910,0,0,0.0520565,0.017683
distance,80211ac,distance_m,1,6,3,192.168.1.4:49153,192.168.1.1:9,828,828,0,0,0.0514304,0.0157958
distance,80211ac,distance_m,1,6,4,192.168.1.3:49153,192.168.1.1:9,935,935,0,0,0.0475151,0.00895872
distance,80211ac,distance_m,1,6,5,192.168.1.5:49153,192.168.1.1:9,867,867,0,0,0.0516401,0.0166632
distance,80211ac,distance_m,1,6,8,192.168.1.6:49153,192.168.1.1:9,819,819,0,0,0.0490154,0.0121763
distance,80211ac,distance_m,1,7,1,192.168.1.5:49153,192.168.1.1:9,860,860,0,0,0.0512981,0.0165696
distance,80211ac,distance_m,1,7,2,192.168.1.6:49153,192.168.1.1:9,874,874,0,0,0.0541923,0.0145792
distance,80211ac,distance_m,1,7,4,192.168.1.2:49153,192.168.1.1:9,965,965,0,0,0.0504263,0.0146599
distance,80211ac,distance_m,1,7,5,192.168.1.4:49153,192.168.1.1:9,887,887,0,0,0.0507325,0.013277
distance,80211ac,distance_m,1,7,7,192.168.1.3:49153,192.168.1.1:9,795,795,0,0,0.0504085,0.0143794
distance,80211ac,distance_m,1,8,1,192.168.1.5:49153,192.168.1.1:9,840,840,0,0,0.0496303,0.0108817
distance,80211ac,distance_m,1,8,2,192.168.1.2:49153,192.168.1.1:9,880,880,0,0,0.0465152,0.00706696
distance,80211ac,distance_m,1,8,3,192.168.1.4:49153,192.168.1.1:9,845,845,0,0,0.049969,0.0119926
distance,80211ac,distance_m,1,8,5,192.168.1.3:49153,192.168.1.1:9,997,997,0,0,0.0524479,0.0177607
distance,80211ac,distance_m,1,8,8,192.168.1.6:49153,192.168.1.1:9,822,822,0,0,0.0492995,0.0127031
distance,80211ac,distance_m,1,9,1,192.168.1.3:49153,192.168.1.1:9,816,816,0,0,0.0503167,0.012332
distance,80211ac,distance_m,1,9,3,192.168.1.5:49153,192.168.1.1:9,924,924,0,0,0.0556155,0.0181693
distance,80211ac,distance_m,1,9,4,192.168.1.2:49153,192.168.1.1:9,900,900,0,0,0.0487229,0.0115978
distance,80211ac,distance_m,1,9,7,192.168.1.4:49153,192.168.1.1:9,795,795,0,0,0.0480528,0.00911214
distance,80211ac,distance_m,1,9,8,192.168.1.6:49153,192.168.1.1:9,821,821,0,0,0.0459237,0.00575228
distance,80211ac,distance_m,1,10,1,192.168.1.2:49153,192.168.1.1:9,924,924,0,0,0.0535321,0.0185342
distance,80211ac,distance_m,1,10,2,192.168.1.5:49153,192.168.1.1:9,933,933,0,0,0.0514413,0.0165326
distance,80211ac,distance_m,1,10,3,192.168.1.3:49153,192.168.1.1:9,924,924,0,0,0.0511982,0.0162893
distance,80211ac,distance_m,1,10,5,192.168.1.6:49153,192.168.1.1:9,867,867,0,0,0.0494002,0.0126703
distance,80211ac,distance_m,1,10,6,192.168.1.4:49153,192.168.1.1:9,700,700,0,0,0.0551296,0.0143027
distance,80211ac,distance_m,5,1,1,192.168.1.2:49153,192.168.1.1:9,898,898,0,0,0.053205,0.0146859
distance,80211ac,distance_m,5,1,3,192.168.1.4:49153,192.168.1.1:9,970,970,0,0,0.0497824,0.01126
distance,80211ac,distance_m,5,1,4,192.168.1.3:49153,192.168.1.1:9,931,931,0,0,0.0552202,0.0118001
distance,80211ac,distance_m,5,1,6,192.168.1.5:49153,192.168.1.1:9,832,832,0,0,0.0497277,0.0119999
distance,80211ac,distance_m,5,1,7,192.168.1.6:49153,192.168.1.1:9,713,713,0,0,0.0480089,0.00971203
distance,80211ac,distance_m,5,2,2,192.168.1.3:49153,192.168.1.1:9,793,793,0,0,0.0518016,0.0173767
distance,80211ac,distance_m,5,2,3,192.168.1.2:49153,192.168.1.1:9,735,735,0,0,0.0499561,0.0133888
distance,80211ac,distance_m,5,2,4,192.168.1.5:49153,192.168.1.1:9,865,865,0,0,0.0482186,0.00985773
distance,80211ac,distance_m,5,2,5,192.168.1.6:49153,192.168.1.1:9,838,838,0,0,0.0489467,0.00979187
distance,80211ac,distance_m,5,2,6,192.168.1.4:49153,192.168.1.1:9,825,825,0,0,0.0525143,0.0185992
distance,80211ac,distance_m,5,3,1,192.168.1.3:49153,192.168.1.1:9,908,908,0,0,0.056684,0.0133391
distance,80211ac,distance_m,5,3,2,192.168.1.4:49153,192.168.1.1:9,796,796,0,0,0.0538263,0.0207942
distance,80211ac,distance_m,5,3,4,192.168.1.2:49153,192.168.1.1:9,870,870,0,0,0.0488313,0.0111742
distance,80211ac,distance_m,5,3,5,192.168.1.6:49153,192.168.1.1:9,784,784,0,0,0.0526829,0.0149399
distance,80211ac,distance_m,5,3,6,192.168.1.5:49153,192.168.1.1:9,873,873,0,0,0.0497052,0.0119733
distance,80211ac,distance_m,5,4,1,192.168.1.4:49153,192.168.1.1:9,976,976,0,0,0.0514982,0.0137351
distance,80211ac,distance_m,5,4,2,192.168.1.2:49153,192.168.1.1:9,868,868,0,0,0.0494403,0.0108329
distance,80211ac,distance_m,5,4,3,192.168.1.3:49153,192.168.1.1:9,796,796,0,0,0.0488244,0.0116251
distance,80211ac,distance_m,5,4,4,192.168.1.5:49153,192.168.1.1:9,863,863,0,0,0.0535513,0.0168271
distance,80211ac,distance_m,5,4,7,192.168.1.6:49153,192.168.1.1:9,763,763,0,0,0.0490364,0.0111888
distance,80211ac,distance_m,5,5,2,192.168.1.4:49153,192.168.1.1:9,776,776,0,0,0.0479415,0.00981594
distance,80211ac,distance_m,5,5,3,192.168.1.2:49153,192.168.1.1:9,744,744,0,0,0.0481137,0.0100172
distance,80211ac,distance_m,5,5,5,192.168.1.5:49153,192.168.1.1:9,868,868,0,0,0.0489744,0.0114854
distance,80211ac,distance_m,5,5,6,192.168.1.6:49153,192.168.1.1:9,829,829,0,0,0.0507889,0.0125311
distance,80211ac,distance_m,5,5,8,192.168.1.3:49153,192.168.1.1:9,942,942,0,0,0.0516385,0.0153328
distance,80211ac,distance_m,5,6,1,192.168.1.2:49153,192.168.1.1:9,910,910,0,0,0.0520153,0.0176924
distance,80211ac,distance_m,5,6,3,192.168.1.4:49153,192.168.1.1:9,828,828,0,0,0.0514052,0.0157788
distance,80211ac,distance_m,5,6,4,192.168.1.3:49153,192.168.1.1:9,935,935,0,0,0.0474475,0.00891297
distance,80211ac,distance_m,5,6,5,192.168.1.5:49153,192.168.1.1:9,867,867,0,0,0.0517382,0.016588
distance,80211ac,distance_m,5,6,8,192.168.1.6:49153,192.168.1.1:9,819,819,0,0,0.0490751,0.0120751
distance,80211ac,distance_m,5,7,1,192.168.1.5:49153,192.168.1.1:9,860,860,0,0,0.0513869,0.0165149
distance,80211ac,distance_m,5,7,2,192.168.1.6:49153,192.168.1.1:9,874,874,0,0,0.0542743,0.0144608
distance,80211ac,distance_m,5,7,4,192.168.1.2:49153,192.168.1.1:9,965,965,0,0,0.0505134,0.0147435
distance,80211ac,distance_m,5,7,5,192.168.1.4:49153,192.168.1.1:9,887,887,0,0,0.0506996,0.0131652
distance,80211ac,distance_m,5,7,7,192.168.1.3:49153,192.168.1.1:9,795,795,0,0,0.0511266,0.0157369
distance,80211ac,distance_m,5,8,1,192.168.1.5:49153,192.168.1.1:9,840,840,0,0,0.0495954,0.0107327
distance,80211ac,distance_m,5,8,2,192.168.1.2:49153,192.168.1.1:9,880,880,0,0,0.0464466,0.00667685
distance,80211ac,distance_m,5,8,3,192.168.1.4:49153,192.168.1.1:9,845,845,0,0,0.0499401,0.0119307
distance,80211ac,distance_m,5,8,5,192.168.1.3:49153,192.168.1.1:9,997,997,0,0,0.0524331,0.0176874
distance,80211ac,distance_m,5,8,8,192.168.1.6:49153,192.168.1.1:9,822,822,0,0,0.0498597,0.0137221
distance,80211ac,distance_m,5,9,1,192.168.1.3:49153,192.168.1.1:9,816,816,0,0,0.0510477,0.0135486
distance,80211ac,distance_m,5,9,3,192.168.1.5:49153,192.168.1.1:9,924,924,0,0,0.0555757,0.018134
distance,80211ac,distance_m,5,9,4,192.168.1.2:49153,192.168.1.1:9,900,900,0,0,0.0487678,0.0115731
distance,80211ac,distance_m,5,9,7,192.168.1.4:49153,192.168.1.1:9,795,795,0,0,0.0479734,0.00902607
distance,80211ac,distance_m,5,9,8,192.168.1.6:49153,192.168.1.1:9,821,821,0,0,0.0459373,0.00568807
distance,80211ac,distance_m,5,10,1,192.168.1.2:49153,192.168.1.1:9,924,924,0,0,0.0538697,0.0189382
distance,80211ac,distance_m,5,10,2,192.168.1.5:49153,192.168.1.1:9,933,933,0,0,0.0513791,0.0165137
distance,80211ac,distance_m,5,10,3,192.168.1.3:49153,192.168.1.1:9,924,924,0,0,0.0507994,0.0153881
distance,80211ac,distance_m,5,10,5,192.168.1.6:49153,192.168.1.1:9,867,867,0,0,0.0492133,0.0122968
distance,80211ac,distance_m,5,10,6,192.168.1.4:49153,192.168.1.1:9,700,700,0,0,0.0552333,0.0143533
distance,80211ac,distance_m,10,1,1,192.168.1.2:49153,192.168.1.1:9,898,898,0,0,0.0529913,0.0143382
distance,80211ac,distance_m,10,1,3,192.168.1.4:49153,192.168.1.1:9,970,970,0,0,0.0494306,0.0103349
distance,80211ac,distance_m,10,1,4,192.168.1.3:49153,192.168.1.1:9,931,931,0,0,0.0559496,0.0122895
distance,80211ac,distance_m,10,1,6,192.168.1.5:49153,192.168.1.1:9,832,832,0,0,0.0493688,0.0113612
distance,80211ac,distance_m,10,1,7,192.168.1.6:49153,192.168.1.1:9,713,713,0,0,0.047857,0.00919186
distance,80211ac,distance_m,10,2,2,192.168.1.3:49153,192.168.1.1:9,793,793,0,0,0.0525838,0.0186007
distance,80211ac,distance_m,10,2,3,192.168.1.2:49153,192.168.1.1:9,735,735,0,0,0.0501504,0.0136834
distance,80211ac,distance_m,10,2,4,192.168.1.5:49153,192.168.1.1:9,865,865,0,0,0.0482746,0.00979931
distance,80211ac,distance_m,10,2,5,192.168.1.6:49153,192.168.1.1:9,838,838,0,0,0.048618,0.00958563
distance,80211ac,distance_m,10,2,6,192.168.1.4:49153,192.168.1.1:9,825,825,0,0,0.0518369,0.0171762
distance,80211ac,distance_m,10,3,1,192.168.1.3:49153,192.168.1.1:9,908,908,0,0,0.0562907,0.012588
distance,80211ac,distance_m,10,3,2,192.168.1.4:49153,192.168.1.1:9,796,796,0,0,0.0542113,0.0215356
distance,80211ac,distance_m,10,3,4,192.168.1.2:49153,192.168.1.1:9,870,870,0,0,0.049436,0.0117617
distance,80211ac,distance_m,10,3,5,192.168.1.6:49153,192.168.1.1:9,784,784,0,0,0.0527009,0.0149643
distance,80211ac,distance_m,10,3,6,192.168.1.5:49153,192.168.1.1:9,873,873,0,0,0.0492512,0.0112368
distance,80211ac,distance_m,10,4,1,192.168.1.4:49153,192.168.1.1:9,976,976,0,0,0.0514302,0.0135011
distance,80211ac,distance_m,10,4,2,192.168.1.2:49153,192.168.1.1:9,868,868,0,0,0.0494914,0.0109169
distance,80211ac,distance_m,10,4,3,192.168.1.3:49153,192.168.1.1:9,796,796,0,0,0.0488051,0.0113707
distance,80211ac,distance_m,10,4,4,192.168.1.5:49153,192.168.1.1:9,863,863,0,0,0.0533733,0.0170527
distance,80211ac,distance_m,10,4,7,192.168.1.6:49153,192.168.1.1:9,763,763,0,0,0.0491338,0.011186
distance,80211ac,distance_m,10,5,2,192.168.1.4:49153,192.168.1.1:9,776,776,0,0,0.0476723,0.00896278
distance,80211ac,distance_m,10,5,3,192.168.1.2:49153,192.168.1.1:9,744,744,0,0,0.0482566,0.0103594
distance,80211ac,distance_m,10,5,5,192.168.1.5:49153,192.168.1.1:9,868,868,0,0,0.0488895,0.0111734
distance,80211ac,distance_m,10,5,6,192.168.1.6:49153,192.168.1.1:9,829,829,0,0,0.050105,0.011578
distance,80211ac,distance_m,10,5,8,192.168.1.3:49153,192.168.1.1:9,942,942,0,0,0.0517369,0.0154671
